"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"EFA, Long, 2026-01-25 (Price: 99.97)",2026-02-22 (Price: 104.9),"4.93%, 28 days","86.96%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-03-06 (Price: 98.28), 1.69% below",1.4 month,"2, 2016-04-24 (Price: 60.16)",2026-01-25 (Price: 99.97),2026-01-22 (Price: 99.42),40/43/40 days,1.69% below/1.15% below/1.69% below,2016-04-24 (Price: 60.16)/2026-01-25 (Price: 98.8775),7.21%/1.24%/3.58%,"13.66%, 23.59%",10.7 months/1.2 month/3.4 months,2027-05-04/2026-03-18/2026-06-21,2.98%,2.36%,0.62%,0.36,0.03,102.9491/103.5489/123.86/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.02/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/91.35,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),98.0
"MTY.TO, Long, 2026-01-18 (Price: 40.33)",2026-02-22 (Price: 43.14),"6.97%, 1.2 month","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-03-06 (Price: 39.47), 2.13% below",1.6 month,"8, 2023-02-19 (Price: 73.5)",2026-01-18 (Price: 40.33),2026-01-18 (Price: 40.33),47/47/47 days,2.13% below/2.13% below/2.13% below,2023-02-19 (Price: 73.5)/2026-01-18 (Price: 39.5891),14.89%/5.03%/9.29%,"37.54%, 76.03%",1.1 year/28 days/5.1 months,2027-08-14/2026-02-27/2026-08-27,0.91%,5.06%,-4.15%,-0.11,0.29,41.1527/44.0767/60.23/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.34/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.21,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),39.9
"MTY.TO, Long, 2026-01-11 (Price: 40.19)",2026-02-22 (Price: 43.14),"7.34%, 1.4 month","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-03-06 (Price: 39.47), 1.79% below",1.9 month,"2, 2025-05-18 (Price: 46.36)",2025-12-28 (Price: 38.22),2026-01-08 (Price: 39.97),68/57/54 days,3.27% above/1.25% below/1.79% below,2025-05-18 (Price: 46.36)/2026-01-11 (Price: 36.2009),14.89%/5.03%/9.29%,"37.54%, 76.03%",1.1 year/28 days/5.1 months,2027-08-07/2026-02-20/2026-08-20,0.91%,5.06%,-4.15%,-0.11,0.29,41.0099/43.9237/43.89/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.34/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.25,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),38.27
"NFLX, Long, 2025-12-29 (Price: 94.15)",2026-03-05 (Price: 99.17),"5.33%, 2.2 months","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2026-03-06 (Price: 99.02), 5.17% above",2.2 months,"2, 2025-11-13 (Price: 116.733)",2025-12-26 (Price: 94.47),2025-12-29 (Price: 94.15),70/67/67 days,4.82% above/5.17% above/5.17% above,2025-11-13 (Price: 116.733)/2025-12-29 (Price: 92.5369),7.15%/0.45%/3.37%,"0.57%, 20.2%",2.6 months/7 days/1.2 month,2026-04-20/2026-01-08/2026-02-19,15.4%,9.17%,6.23%,1.08,0.47,95.5622/97.3229/107.7/No Horizontal Resistance/139.352/152.4292/113.4,93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets),93.99
"MAR, Long, 2025-12-28 (Price: 315.58)",2026-03-08 (Price: 323.8),"2.6%, 2.3 months","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-03-06 (Price: 323.8), 2.6% above",2.3 months,"2, 2016-03-20 (Price: 73.89)",2025-12-21 (Price: 310.16),2025-12-28 (Price: 315.58),75/68/68 days,4.4% above/2.6% above/2.6% above,2016-03-20 (Price: 73.89)/2025-12-28 (Price: 306.94),16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-05-07/2026-02-06/2026-06-22,11.35%,10.48%,0.87%,0.65,0.53,361.8756/342.6883/460.59/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),310.74
"WMT, Long, 2025-12-14 (Price: 116.7)",2026-03-01 (Price: 127.95),"9.64%, 2.6 months","91.3%, Past 10 years, 23","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2026-03-06 (Price: 123.8), 6.08% above",2.8 months,"0, 2016-04-24 (Price: 23.36)",2025-11-30 (Price: 110.51),2025-12-12 (Price: 116.7),96/84/82 days,12.03% above/6.08% above/6.08% above,2016-04-24 (Price: 23.36)/2025-12-14 (Price: 109.112),10.45%/2.48%/5.35%,"1.31%, 24.69%",1.5 year/28 days/5.6 months,2028-02-04/2026-01-23/2026-08-14,8.33%,9.41%,-1.08%,1.49,0.58,124.2505/122.9435/172.7/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,101.18/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/98.71,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),114.57
"MCD, Long, 2025-12-07 (Price: 311.23)",2026-03-01 (Price: 341.06),"9.58%, 2.8 months","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-03-06 (Price: 328.06), 5.41% above",3 months,"2, 2025-09-07 (Price: 319.43)",2025-12-07 (Price: 311.23),2025-12-05 (Price: 311.23),89/91/89 days,5.41% above/5.41% above/5.41% above,2025-09-07 (Price: 319.43)/2025-12-07 (Price: 307.0986),10.85%/1.47%/4.93%,"-0.0%, 16.82%",10.3 months/1.2 month/4.3 months,2027-02-27/2026-01-28/2026-06-11,7.73%,6.98%,0.75%,1.39,0.42,331.989/326.5736/316.15/321.3575/370.0426/590.3302/No EMA 200 Target,297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),309.48
"GOOG, Long, 2025-10-31 (Price: 281.82)",2026-03-08 (Price: 298.3),"5.85%, 4.3 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-06 (Price: 298.3), 5.85% above",4.3 months,"0, 2006-01-31 (Price: 11.8334)",2025-09-30 (Price: 243.55),2025-10-15 (Price: 251.71),157/142/126 days,22.48% above/18.51% above/5.85% above,2006-01-31 (Price: 11.8334)/2025-10-31 (Price: 221.2778),63.04%/12.61%/46.43%,"-0.0%, 18.92%",10.2 months/5.1 months/6.2 months,2027-01-17/2026-06-09/2026-07-27,12.41%,17.09%,-4.68%,1.16,0.87,346.1313/412.669/443.81/No Horizontal Resistance/285.4807/322.8294/No EMA 200 Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),241.18
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",2026-03-08 (Price: 48.28),"6.96%, 4.3 months","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-06 (Price: 48.28), 6.96% above",4.3 months,"0, 2002-03-31 (Price: 11.5)",2025-08-31 (Price: 42.76),2025-10-28 (Price: 45.46),187/129/126 days,12.91% above/6.2% above/6.96% above,2002-03-31 (Price: 11.5)/2025-10-31 (Price: 41.0445),12.69%/5.3%/8.8%,"6.95%, 19.49%",1.2 year/4 months/7.1 months,2027-07-18/2026-04-22/2026-09-04,5.6%,3.96%,1.64%,1.05,0.16,49.97/49.1123/65.32/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),44.75
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2026-03-08 (Price: 98.03),"6.57%, 4.3 months","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-06 (Price: 98.03), 6.57% above",4.3 months,"0, 2022-02-28 (Price: 95.0)",2025-08-31 (Price: 85.77),2025-10-30 (Price: 91.86),187/127/126 days,14.29% above/6.72% above/6.57% above,2022-02-28 (Price: 95.0)/2025-10-31 (Price: 75.7694),24.83%/4.28%/13.78%,"30.99%, 38.87%",1.1 year/6 months/10.2 months,2027-05-27/2026-07-18/2027-01-17,1.92%,4.47%,-2.55%,0.3,0.2,97.7578/104.6662/93.8/No Horizontal Resistance/92.969/100.7509/No EMA 200 Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),90.0
"PPH, Long, 2025-10-31 (Price: 92.54)",2026-03-08 (Price: 105.94),"14.48%, 4.3 months","85.71%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-06 (Price: 105.94), 14.48% above",4.3 months,"2, 2024-09-30 (Price: 99.51)",2025-09-30 (Price: 90.36),2025-10-01 (Price: 94.26),157/156/126 days,17.24% above/12.39% above/14.48% above,2024-09-30 (Price: 99.51)/2025-10-31 (Price: 88.7495),20.62%/2.34%/10.59%,"3.25%, 39.01%",4.4 years/5 months/1.4 year,2032-02-11/2026-06-05/2027-10-29,2.32%,2.1%,0.22%,1.05,-0.03,102.7657/102.34/96.72/No Horizontal Resistance/100.0174/110.0139/No EMA 200 Target,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/88.68,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),90.84
"RY.TO, Long, 2025-10-31 (Price: 205.47)",2026-03-08 (Price: 222.48),"8.28%, 4.3 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-06 (Price: 222.48), 8.28% above",4.3 months,"0, 2001-08-31 (Price: 26.625)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),187/126/126 days,11.47% above/8.28% above/8.28% above,2001-08-31 (Price: 26.625)/2025-10-31 (Price: 192.005),16.93%/2.86%/11.22%,"-0.0%, 21.22%",2.5 years/4 months/11.3 months,2029-05-26/2026-04-22/2027-03-06,4.79%,6.63%,-1.84%,1.91,0.39,229.6333/228.5237/312.78/No Horizontal Resistance/221.431/339.4883/No EMA 200 Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),204.86
"ACWX, Long, 2025-09-30 (Price: 65.01)",2026-03-08 (Price: 69.3),"6.6%, 5.3 months","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-06 (Price: 69.3), 6.6% above",5.3 months,"4, 2010-01-31 (Price: 42.88)",2025-09-30 (Price: 65.01),2025-09-26 (Price: 64.39),157/161/157 days,6.6% above/7.63% above/6.6% above,2010-01-31 (Price: 42.88)/2025-09-30 (Price: 62.8759),15.1%/1.97%/7.67%,"10.07%, 26.55%",3.3 years/4.1 months/1.5 year,2030-06-16/2026-03-25/2027-11-21,1.48%,1.08%,0.4%,0.36,-0.07,70.7049/69.9963/78.29/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/58.09,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),62.0
"GDX, Long, 2025-09-30 (Price: 76.4)",2026-03-08 (Price: 101.38),"32.7%, 5.3 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-06 (Price: 101.38), 32.7% above",5.3 months,"2, 2006-09-30 (Price: 42.58)",2025-08-31 (Price: 63.17),2025-09-26 (Price: 74.68),187/161/157 days,60.49% above/35.75% above/32.7% above,2006-09-30 (Price: 42.58)/2025-09-30 (Price: 57.277),64.32%/20.13%/42.14%,"-0.0%, 37.94%",1.5 year/6.1 months/10.4 months,2027-11-21/2026-06-22/2026-12-25,8.21%,3.31%,4.9%,1.9,0.2,96.6842/108.595/96.69/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.91/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),64.39
"SPY, Long, 2025-09-30 (Price: 666.18)",2026-03-08 (Price: 672.38),"0.93%, 5.3 months","80.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-06 (Price: 672.38), 0.93% above",5.3 months,"0, 2003-06-30 (Price: 102.18)",2025-09-30 (Price: 666.18),2025-09-30 (Price: 666.18),157/157/157 days,0.93% above/0.93% above/0.93% above,2003-06-30 (Price: 102.18)/2025-09-30 (Price: 638.4395),13.4%/8.58%/11.25%,"5.51%, 13.47%",1.1 year/4 months/8.8 months,2027-04-26/2026-03-22/2026-10-17,5.38%,4.9%,0.48%,0.81,0.25,761.9767/741.1252/1004.58/No Horizontal Resistance/969.1148/1522.3697/No EMA 200 Target,554.54/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/600.46,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),637.5
"ATZ.TO, Long, 2025-09-30 (Price: 84.18)",2026-02-28 (Price: 120.78),"43.48%, 5 months","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-06 (Price: 110.78), 31.6% above",5.3 months,"0, 2022-01-31 (Price: 60.64)",2025-08-31 (Price: 82.22),2025-09-30 (Price: 84.18),187/157/157 days,34.74% above/31.6% above/31.6% above,2022-01-31 (Price: 60.64)/2025-09-30 (Price: 76.2844),34.18%/9.72%/15.83%,"0%, 27.64%",7.1 months/4.5 months/6.4 months,2026-08-04/2026-04-13/2026-07-05,18.02%,14.67%,3.35%,1.35,0.67,145.7998/97.5057/98.3/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,21.57/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/65.85,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),80.71
"GS, Long, 2025-08-31 (Price: 745.25)",2026-02-28 (Price: 859.57),"15.34%, 6 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-03-06 (Price: 821.42), 10.22% above",6.3 months,"10, 2003-06-30 (Price: 91.98)",2025-06-30 (Price: 707.75),2025-08-04 (Price: 726.03),249/214/187 days,16.06% above/13.14% above/10.22% above,2003-06-30 (Price: 91.98)/2025-08-31 (Price: 603.5427),53.25%/7.0%/23.74%,"-0.0%, 34.98%",2.5 years/4 months/9.8 months,2029-03-26/2026-02-20/2026-10-30,11.0%,6.57%,4.43%,1.46,0.33,889.903/922.1724/1137.21/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,303.61/288.555/634.5288/521.2487/No F-Track Level/No F-Track Level/618.35,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),710.51
"PFE, Long, 2025-08-17 (Price: 25.14)",2026-02-22 (Price: 26.65),"6.01%, 6.3 months","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-08-15",Already confirmed,"2026-03-06 (Price: 27.05), 7.6% above",6.8 months,"4, 2024-08-04 (Price: 31.54)",2025-08-10 (Price: 24.58),2025-08-12 (Price: 24.65),208/206/201 days,10.05% above/9.74% above/7.6% above,2024-08-04 (Price: 31.54)/2025-08-17 (Price: 23.5954),20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-05-04/2025-09-26/2026-04-04,2.79%,1.76%,1.03%,0.12,0.02,26.6233/27.2543/28.98/55.39/66.4672/73.1352/No EMA 200 Target,23.49/24.95/21.508/20.5265/No F-Track Level/No F-Track Level/25.09,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),24.6
"BTI, Long, 2025-08-10 (Price: 57.24)",2026-02-22 (Price: 62.08),"8.46%, 6.5 months","95.65%, Past 10 years, 23","Weekly, is CONFIRMED on 2025-08-08",Already confirmed,"2026-03-06 (Price: 57.87), 1.1% above",7 months,"2, 2016-02-07 (Price: 56.13)",2025-08-03 (Price: 54.35),2025-08-10 (Price: 57.24),215/208/208 days,6.48% above/1.1% above/1.1% above,2016-02-07 (Price: 56.13)/2025-08-10 (Price: 52.6416),17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2026-11-17/2025-10-01/2026-01-04,-0.68%,2.1%,-2.78%,0.55,0.05,60.9778/62.2886/57.91/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,35.9/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/41.89,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),55.02
"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-28 (Price: 200.21),"13.56%, 7.1 months","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-03-06 (Price: 192.43), 9.14% above",7.3 months,"2, 2024-03-31 (Price: 227.3)",2025-05-31 (Price: 110.73),2025-07-10 (Price: 144.16),279/239/218 days,73.78% above/33.48% above/9.14% above,2024-03-31 (Price: 227.3)/2025-07-31 (Price: 100.79),190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2029-02-23/2026-03-09/2026-11-12,20.96%,6.33%,14.63%,1.29,0.43,338.0392/355.6878/206.9/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),138.77
"PFE, Long, 2025-07-13 (Price: 25.65)",2026-03-08 (Price: 27.05),"5.46%, 7.9 months","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-07-11",Already confirmed,"2026-03-06 (Price: 27.05), 5.46% above",7.9 months,"2, 2023-06-18 (Price: 40.37)",2025-07-06 (Price: 25.38),2025-07-08 (Price: 25.62),243/241/236 days,6.58% above/5.58% above/5.46% above,2023-06-18 (Price: 40.37)/2025-07-13 (Price: 24.4628),20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-03-30/2025-08-22/2026-02-28,2.79%,1.76%,1.03%,0.12,0.02,27.1633/27.8072/34.48/55.39/66.4672/73.1352/No EMA 200 Target,21.91/25.244/21.508/20.5265/No F-Track Level/No F-Track Level/No support,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),25.36
"UPS, Long, 2025-07-06 (Price: 104.13)",2026-03-01 (Price: 115.96),"11.36%, 7.9 months","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2026-03-06 (Price: 102.36), 1.7% below",8.2 months,"2, 2024-11-24 (Price: 145.5101)",2025-06-22 (Price: 99.27),2025-07-01 (Price: 104.47),257/248/243 days,3.11% above/2.02% below/1.7% below,2024-11-24 (Price: 145.5101)/2025-07-06 (Price: 96.3775),31.22%/1.77%/9.21%,"12.29%, 27.26%",9.8 months/28 days/4.9 months,2026-09-04/2025-08-15/2026-02-03,6.49%,1.99%,4.5%,0.53,0.06,103.1304/113.7204/128.96/221.2667/228.7501/289.9226/117.28,95.37/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),101.16
"DOL.TO, Long, 2025-05-31 (Price: 176.5)",2026-02-28 (Price: 200.82),"13.78%, 9.1 months","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-03-06 (Price: 193.63), 9.71% above",9.4 months,"2, 2009-12-31 (Price: 4.0117)",2025-05-31 (Price: 176.5),2025-05-20 (Price: 171.48),279/290/279 days,9.71% above/12.92% above/9.71% above,2009-12-31 (Price: 4.0117)/2025-05-31 (Price: 170.4717),24.69%/6.61%/15.78%,"0%, 12.12%",1 year/5 months/9.3 months,2026-11-03/2026-01-03/2026-07-09,8.62%,19.19%,-10.57%,2.59,1.27,209.8938/204.3517/279.99/No Horizontal Resistance/194.1559/294.0831/No EMA 200 Target,39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),170.49
"NZDCAD=X, Long, 2025-03-16 (Price: 0.8225)",2026-03-08 (Price: 0.8003),"-2.7%, 11.9 months","75.0%, Past 10 years, 24","Weekly, is CONFIRMED on 2025-03-14",Already confirmed,"2026-03-08 (Price: 0.8003), 2.7% below",11.9 months,"2, 2024-10-06 (Price: 0.8609)",2025-03-02 (Price: 0.8126),2025-03-11 (Price: 0.8215),371/362/357 days,1.51% below/2.58% below/2.7% below,2024-10-06 (Price: 0.8609)/2025-03-16 (Price: 0.8056),3.66%/1.11%/2.31%,"5.56%, 13.76%",6.8 months/28 days/3.3 months,2026-01-05/2025-04-25/2025-08-06,-1.88%,0.44%,-2.32%,-0.06,-0.48,0.828/0.8415/0.85/0.9289/1.0924/1.3117/0.83,0.81/0.7625/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),0.8205
"SBUX, Long, 2025-02-02 (Price: 107.68)",2026-03-01 (Price: 98.02),"-8.97%, 1.1 year","81.25%, Past 10 years, 16","Weekly, is CONFIRMED on 2025-01-31",Already confirmed,"2026-03-06 (Price: 98.99), 8.07% below",1.1 year,"0, 2022-01-09 (Price: 117.8)",2025-01-26 (Price: 98.81),2025-01-29 (Price: 108.58),404/401/397 days,0.18% above/8.83% below/8.07% below,2022-01-09 (Price: 117.8)/2025-02-02 (Price: 96.8148),20.61%/4.98%/14.44%,"16.17%, 42.95%",4.9 months/1.2 month/2.3 months,2025-09-02/2025-03-26/2025-05-12,6.25%,8.41%,-2.16%,0.63,0.44,116.1006/123.229/113.75/117.4325/142.4098/150.3462/No EMA 200 Target,87.97/71.47/104.577/89.1063/No F-Track Level/No F-Track Level/88.98,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),98.52
"AMZN, Long, 2024-12-31 (Price: 219.39)",2026-03-08 (Price: 213.21),"-2.82%, 1.2 year","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-03-06 (Price: 213.21), 2.82% below",1.2 year,"0, 2020-09-30 (Price: 177.6125)",2024-11-30 (Price: 207.89),2024-12-31 (Price: 219.39),461/430/430 days,2.56% above/2.82% below/2.82% below,2020-09-30 (Price: 177.6125)/2024-12-31 (Price: 203.7639),51.52%/19.23%/30.47%,"-0.0%, 23.74%",1.8 year/6.1 months/11.9 months,2027-07-27/2025-09-22/2026-06-01,15.9%,18.33%,-2.43%,1.69,0.81,276.9141/286.2381/244.46/No Horizontal Resistance/213.1321/231.81/No EMA 200 Target,84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),209.96
"JETS, Long, 2024-11-30 (Price: 24.55)",2026-03-08 (Price: 25.35),"3.26%, 1.3 year","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2024-11-30",Already confirmed,"2026-03-06 (Price: 25.35), 3.26% above",1.3 year,"0, 2019-07-31 (Price: 32.359)",2024-10-31 (Price: 22.74),2024-11-29 (Price: 24.55),491/462/461 days,11.48% above/3.26% above/3.26% above,2019-07-31 (Price: 32.359)/2024-11-30 (Price: 20.18),22.2%/22.2%/22.2%,"3.13%, 30.25%",6.1 months/6.1 months/6.1 months,2025-08-22 (Max),11.2%,1.51%,9.69%,0.43,0.08,23.9142/30.0001/29.24/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,18.7/11.26/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/20.31,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),22.81
"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",2026-03-08 (Price: 10.33),"-19.49%, 1.3 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-11-30",Already confirmed,"2026-03-06 (Price: 10.33), 19.49% below",1.3 year,"0, 2021-08-31 (Price: 15.69)",2024-09-30 (Price: 11.95),2024-11-08 (Price: 12.55),522/483/461 days,13.56% below/17.69% below/19.49% below,2021-08-31 (Price: 15.69)/2024-11-30 (Price: 10.6566),39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-08-17/2025-07-05/2026-05-05,7.79%,10.92%,-3.13%,0.19,0.59,13.959/15.7103/14.55/No Horizontal Resistance/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.15,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),12.4
