"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XLE, Long, 2026-02-28 (Price: 55.92)",No Exit Yet,"8.8%, 24 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-24 (Price: 60.84), 8.8% above",24 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),52/49/24 days,19.18% above/17.75% above/8.8% above,2022-06-30 (Price: 46.655)/2026-02-28 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-04/2027-05-12/2028-09-23,6.1%,3.44%,2.66%,0.63,0.15,61.0982/68.8543/61.48/No Horizontal Resistance/No Target/58.8712/No EMA 200 Target,40.25/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/45.16,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-28 (Price: 489.66)",No Exit Yet,"-5.82%, 24 days","100.0%, Past 20 years, 19","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-24 (Price: 461.17), 5.82% below",24 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-27 (Price: 489.66),52/25/24 days,5.7% below/5.82% below/5.82% below,2001-05-31 (Price: 113.64)/2026-02-28 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-14/2027-02-14/2028-02-26,1.42%,4.44%,-3.02%,2.35,0.21,528.2452/533.7784/715.27/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,406.34/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/462.04,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),488.87
"ENZL, Long, 2026-02-28 (Price: 47.4776)",No Exit Yet,"-9.83%, 24 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-24 (Price: 42.81), 9.83% below",24 days,"2, 2024-09-30 (Price: 50.41)",2026-02-28 (Price: 47.4776),2026-02-25 (Price: 47.1645),24/27/24 days,9.83% below/9.23% below/9.83% below,2024-09-30 (Price: 50.41)/2026-02-28 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-20/2027-08-03/2027-11-15,5.75%,1.82%,3.93%,1.1,-0.01,No Target/55.582/49.24/65.1933/79.7363/84.688/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.77,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),47.08
"BYD.TO, Long, 2026-02-28 (Price: 238.09)",No Exit Yet,"-19.19%, 24 days","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-24 (Price: 192.41), 19.19% below",24 days,"2, 2024-02-29 (Price: 324.75)",2026-01-31 (Price: 223.17),2026-02-26 (Price: 240.82),52/26/24 days,13.78% below/20.1% below/19.19% below,2024-02-29 (Price: 324.75)/2026-02-28 (Price: 213.2612),21.68%/5.8%/10.67%,"-0.0%, 33.29%",1.1 year/5.1 months/9.8 months,2027-09-24/2026-10-07/2027-04-29,14.79%,10.47%,4.32%,1.34,0.52,364.111/263.4942/290.09/256.6133/367.2583/388.6839/No EMA 200 Target,192.05/188.685/229.0045/147.1212/No F-Track Level/No F-Track Level/219.24,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),221.66
"EWJ, Long, 2026-02-28 (Price: 92.37)",No Exit Yet,"-9.84%, 24 days","71.43%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-24 (Price: 83.28), 9.84% below",24 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),52/54/24 days,2.85% below/3.26% below/9.84% below,2001-05-31 (Price: 46.88)/2026-02-28 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-08-02/2026-10-03/2028-09-23,4.29%,2.12%,2.17%,0.28,-0.01,93.4784/101.3945/119.66/No Horizontal Resistance/No Target/104.8752/No EMA 200 Target,67.1/53.915/83.4752/No stop loss/No F-Track Level/No F-Track Level/80.22,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),85.33
"CNQ.TO, Long, 2026-02-22 (Price: 58.0)",2026-03-24 (Price: 67.48),"16.34%, 1 month","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-03-24 (Price: 67.48), 16.34% above",1 month,"2, 2016-02-07 (Price: 15.0588)",2026-02-08 (Price: 53.4),2026-02-18 (Price: 57.09),44/34/30 days,26.37% above/18.2% above/16.34% above,2016-02-07 (Price: 15.0588)/2026-02-22 (Price: 52.5341),19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2026-07-24/2026-04-03/2026-05-11,-1.83%,3.94%,-5.77%,0.27,0.24,58.87/62.1064/83.76/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,43.99/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/45.08,88.82%/152/5.1 months (Across ALL Assets),75.29%/263/3.7 months (Across ALL Assets),55.48
"USO, Long, 2026-02-08 (Price: 76.99)",2026-03-22 (Price: 121.43),"57.72%, 1.4 month","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-03-24 (Price: 114.54), 48.77% above",1.5 month,"2, 2025-06-29 (Price: 83.57)",2026-01-25 (Price: 73.95),2026-02-03 (Price: 77.47),58/49/44 days,54.89% above/47.85% above/48.77% above,2025-06-29 (Price: 83.57)/2026-02-08 (Price: 70.6339),10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-05-31/2026-04-01/2026-07-18,-7.02%,-6.0%,-1.02%,-0.18,-0.19,No Target/79.9156/80.94/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/72.26,88.82%/152/5.1 months (Across ALL Assets),75.29%/263/3.7 months (Across ALL Assets),75.5
"GOOG, Long, 2025-10-31 (Price: 281.82)",2026-03-24 (Price: 289.2),"2.62%, 4.8 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-24 (Price: 289.2), 2.62% above",4.8 months,"0, 2006-01-31 (Price: 11.8334)",2025-09-30 (Price: 243.55),2025-10-15 (Price: 251.71),175/160/144 days,18.74% above/14.89% above/2.62% above,2006-01-31 (Price: 11.8334)/2025-10-31 (Price: 221.2778),63.04%/12.61%/46.43%,"-0.0%, 18.92%",10.2 months/5.1 months/6.2 months,2027-01-17/2026-06-09/2026-07-27,12.41%,17.09%,-4.68%,1.16,0.87,346.1313/412.669/443.81/No Horizontal Resistance/285.4807/322.8294/No EMA 200 Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),241.18
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",2026-03-24 (Price: 47.07),"4.28%, 4.8 months","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-24 (Price: 47.07), 4.28% above",4.8 months,"0, 2002-03-31 (Price: 11.5)",2025-08-31 (Price: 42.76),2025-10-28 (Price: 45.46),205/147/144 days,10.08% above/3.54% above/4.28% above,2002-03-31 (Price: 11.5)/2025-10-31 (Price: 41.0445),12.69%/5.3%/8.8%,"6.95%, 19.49%",1.2 year/4 months/7.1 months,2027-07-18/2026-04-22/2026-09-04,5.6%,3.96%,1.64%,1.05,0.16,49.97/49.1123/65.32/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),44.75
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2026-03-24 (Price: 95.66),"3.99%, 4.8 months","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-24 (Price: 95.66), 3.99% above",4.8 months,"0, 2022-02-28 (Price: 95.0)",2025-08-31 (Price: 85.77),2025-10-30 (Price: 91.86),205/145/144 days,11.53% above/4.14% above/3.99% above,2022-02-28 (Price: 95.0)/2025-10-31 (Price: 75.7694),24.83%/4.28%/13.78%,"30.99%, 38.87%",1.1 year/6 months/10.2 months,2027-05-27/2026-07-18/2027-01-17,1.92%,4.47%,-2.55%,0.3,0.2,97.7578/104.6662/93.8/No Horizontal Resistance/92.969/100.7509/No EMA 200 Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),90.0
"PPH, Long, 2025-10-31 (Price: 92.54)",2026-03-24 (Price: 101.25),"9.41%, 4.8 months","85.71%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-24 (Price: 101.25), 9.41% above",4.8 months,"2, 2024-09-30 (Price: 99.51)",2025-09-30 (Price: 90.36),2025-10-01 (Price: 94.26),175/174/144 days,12.05% above/7.42% above/9.41% above,2024-09-30 (Price: 99.51)/2025-10-31 (Price: 88.7495),20.62%/2.34%/10.59%,"3.25%, 39.01%",4.4 years/5 months/1.4 year,2032-02-11/2026-06-05/2027-10-29,2.32%,2.1%,0.22%,1.05,-0.03,102.7657/102.34/96.72/No Horizontal Resistance/100.0174/110.0139/No EMA 200 Target,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/88.68,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),90.84
"RY.TO, Long, 2025-10-31 (Price: 205.47)",2026-03-24 (Price: 223.18),"8.62%, 4.8 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-24 (Price: 223.18), 8.62% above",4.8 months,"0, 2001-08-31 (Price: 26.625)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),205/144/144 days,11.82% above/8.62% above/8.62% above,2001-08-31 (Price: 26.625)/2025-10-31 (Price: 192.005),16.93%/2.86%/11.22%,"-0.0%, 21.22%",2.5 years/4 months/11.3 months,2029-05-26/2026-04-22/2027-03-06,4.79%,6.63%,-1.84%,1.91,0.39,229.6333/228.5237/312.78/No Horizontal Resistance/221.431/339.4883/No EMA 200 Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),204.86
"ACWX, Long, 2025-09-30 (Price: 65.01)",2026-03-24 (Price: 67.5),"3.83%, 5.8 months","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-24 (Price: 67.5), 3.83% above",5.8 months,"4, 2010-01-31 (Price: 42.88)",2025-09-30 (Price: 65.01),2025-09-26 (Price: 64.39),175/179/175 days,3.83% above/4.83% above/3.83% above,2010-01-31 (Price: 42.88)/2025-09-30 (Price: 62.8759),15.1%/1.97%/7.67%,"10.07%, 26.55%",3.3 years/4.1 months/1.5 year,2030-06-16/2026-03-25/2027-11-21,1.48%,1.08%,0.4%,0.36,-0.07,70.7049/69.9963/78.29/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No stop loss/No F-Track Level/No F-Track Level/58.09,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),62.0
"GDX, Long, 2025-09-30 (Price: 76.4)",2026-03-24 (Price: 83.5),"9.29%, 5.8 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-24 (Price: 83.5), 9.29% above",5.8 months,"2, 2006-09-30 (Price: 42.58)",2025-08-31 (Price: 63.17),2025-09-26 (Price: 74.68),205/179/175 days,32.18% above/11.81% above/9.29% above,2006-09-30 (Price: 42.58)/2025-09-30 (Price: 57.277),64.32%/20.13%/42.14%,"-0.0%, 37.94%",1.5 year/6.1 months/10.4 months,2027-11-21/2026-06-22/2026-12-25,8.21%,3.31%,4.9%,1.9,0.2,96.6842/108.595/96.69/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.91/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.26,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),64.39
"ATZ.TO, Long, 2025-09-30 (Price: 84.18)",2026-02-28 (Price: 120.78),"43.48%, 5 months","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-24 (Price: 112.14), 33.21% above",5.8 months,"0, 2022-01-31 (Price: 60.64)",2025-08-31 (Price: 82.22),2025-09-30 (Price: 84.18),205/175/175 days,36.39% above/33.21% above/33.21% above,2022-01-31 (Price: 60.64)/2025-09-30 (Price: 76.2844),34.18%/9.72%/15.83%,"0%, 27.64%",7.1 months/4.5 months/6.4 months,2026-08-04/2026-04-13/2026-07-05,18.02%,14.67%,3.35%,1.35,0.67,145.7998/97.5057/98.3/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,21.57/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/65.85,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),80.71
"GS, Long, 2025-08-31 (Price: 745.25)",2026-02-28 (Price: 859.57),"15.34%, 6 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-03-24 (Price: 835.72), 12.14% above",6.8 months,"10, 2003-06-30 (Price: 91.98)",2025-06-30 (Price: 707.75),2025-08-04 (Price: 726.03),267/232/205 days,18.08% above/15.11% above/12.14% above,2003-06-30 (Price: 91.98)/2025-08-31 (Price: 603.5427),53.25%/7.0%/23.74%,"-0.0%, 34.98%",2.5 years/4 months/9.8 months,2029-03-26/2026-02-20/2026-10-30,11.0%,6.57%,4.43%,1.46,0.33,889.903/922.1724/1137.21/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,303.61/288.555/634.5288/521.2487/No F-Track Level/No F-Track Level/618.35,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),710.51
"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-28 (Price: 200.21),"13.56%, 7.1 months","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-03-24 (Price: 205.37), 16.48% above",7.9 months,"2, 2024-03-31 (Price: 227.3)",2025-05-31 (Price: 110.73),2025-07-10 (Price: 144.16),297/257/236 days,85.47% above/42.46% above/16.48% above,2024-03-31 (Price: 227.3)/2025-07-31 (Price: 100.79),190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2029-02-23/2026-03-09/2026-11-12,20.96%,6.33%,14.63%,1.29,0.43,338.0392/355.6878/206.9/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.21%/77/10.8 months (Across ALL Assets),61.42%/127/9.7 months (Across ALL Assets),138.77
