"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SBUX, Long, 2026-03-08 (Price: 98.99)",No Exit Yet,"-6.51%, 12 days","81.25%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-20 (Price: 92.55), 6.51% below",12 days,"0, 2021-07-25 (Price: 126.32)",2026-03-08 (Price: 98.99),2026-03-06 (Price: 98.99),12/14/12 days,6.51% below/6.51% below/6.51% below,2021-07-25 (Price: 126.32)/2026-03-08 (Price: 94.9663),20.61%/4.98%/14.44%,"16.17%, 42.95%",4.9 months/1.2 month/2.3 months,2026-10-06/2026-04-29/2026-06-15,6.25%,8.41%,-2.16%,0.63,0.44,106.731/113.2842/115.39/117.0525/142.4098/150.3462/No EMA 200 Target,83.97/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/88.94,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),95.71
"USCI, Long, 2026-03-08 (Price: 90.45)",No Exit Yet,"5.46%, 12 days","82.35%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-20 (Price: 95.39), 5.46% above",12 days,"0, 2025-06-22 (Price: 76.48)",2026-02-22 (Price: 83.04),2026-03-04 (Price: 87.44),26/16/12 days,14.87% above/9.09% above/5.46% above,2025-06-22 (Price: 76.48)/2026-03-08 (Price: 82.06),7.03%/0.99%/4.69%,"3.24%, 32.4%",10.3 months/1.4 month/4.8 months,2027-05-29/2026-05-07/2026-10-02,4.58%,0.7%,3.88%,0.91,-0.17,93.3354/94.6921/98.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,76.07/38.42/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/77.55,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),87.16
"USO, Long, 2026-03-08 (Price: 108.77)",No Exit Yet,"11.64%, 12 days","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-20 (Price: 121.43), 11.64% above",12 days,"2, 2025-09-28 (Price: 78.32)",2026-03-01 (Price: 81.95),2026-03-03 (Price: 90.2),19/17/12 days,48.18% above/34.62% above/11.64% above,2025-09-28 (Price: 78.32)/2026-03-08 (Price: 80.9522),10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-06-28/2026-04-29/2026-08-15,-7.02%,-6.0%,-1.02%,-0.18,-0.19,No Target/112.9033/127.04/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/59.2425/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/73.85,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),87.62
"MEL.NZ, Long, 2026-03-08 (Price: 5.63)",No Exit Yet,"-2.49%, 12 days","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-20 (Price: 5.49), 2.49% below",12 days,"8, 2024-07-21 (Price: 6.89)",2026-03-08 (Price: 5.63),2026-03-08 (Price: 5.63),12/12/12 days,2.49% below/2.49% below/2.49% below,2024-07-21 (Price: 6.89)/2026-03-08 (Price: 5.5745),24.31%/1.96%/9.79%,"-0.0%, 22.1%",8.9 months/1.2 month/3.1 months,2027-03-29/2026-04-29/2026-07-20,11.4%,7.53%,3.87%,1.15,0.39,6.2071/6.1812/6.39/6.825/7.4565/8.4564/5.72,5.46/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),5.6
"ORCL, Long, 2026-03-06 (Price: 152.96)",2026-03-16 (Price: 155.97),"1.97%, 10 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-20 (Price: 149.68), 2.14% below",14 days,"6, 2025-09-10 (Price: 345.72)",2026-03-05 (Price: 154.79),2026-03-06 (Price: 152.96),15/14/14 days,3.3% below/2.14% below/2.14% below,2025-09-10 (Price: 345.72)/2026-03-06 (Price: 150.066),13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,2026-07-23/2026-03-14/2026-04-27,18.7%,11.12%,7.58%,0.94,0.53,162.9483/162.0152/268.62/No Horizontal Resistance/300.069/370.6658/220.39,141.31/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets),152.92
"SOXX, Long, 2026-02-28 (Price: 352.29)",No Exit Yet,"-5.61%, 20 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 332.51), 5.61% below",20 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-27 (Price: 352.29),48/21/20 days,3.98% below/5.61% below/5.61% below,2002-03-31 (Price: 25.5067)/2026-02-28 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-17/2026-10-03/2026-11-24,-3.22%,7.76%,-10.98%,0.06,0.4,403.3016/406.2961/548.36/No Horizontal Resistance/No Target/411.0319/No EMA 200 Target,183.84/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/277.64,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),342.37
"XLU, Long, 2026-02-28 (Price: 47.73)",No Exit Yet,"-6.45%, 20 days","81.25%, Past 20 years, 16","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 44.65), 6.45% below",20 days,"4, 2020-02-29 (Price: 35.55)",2026-02-28 (Price: 47.73),2026-02-09 (Price: 43.48),20/39/20 days,6.45% below/2.69% above/6.45% below,2020-02-29 (Price: 35.55)/2026-02-28 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2031-01-05/2026-10-07/2028-06-11,2.88%,2.86%,0.02%,-0.05,0.05,51.2668/51.1284/55.04/No Horizontal Resistance/49.4858/72.2363/No EMA 200 Target,29.46/29.8725/35.4254/26.7354/No F-Track Level/No F-Track Level/42.99,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-28 (Price: 55.92)",No Exit Yet,"6.06%, 20 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 59.31), 6.06% above",20 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),48/45/20 days,16.18% above/14.79% above/6.06% above,2022-06-30 (Price: 46.655)/2026-02-28 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-04/2027-05-12/2028-09-23,6.1%,3.44%,2.66%,0.63,0.15,61.0982/68.8543/61.48/No Horizontal Resistance/No Target/58.8712/No EMA 200 Target,40.25/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/45.16,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-28 (Price: 489.66)",No Exit Yet,"-6.9%, 20 days","100.0%, Past 20 years, 19","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 455.89), 6.9% below",20 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-27 (Price: 489.66),48/21/20 days,6.78% below/6.9% below/6.9% below,2001-05-31 (Price: 113.64)/2026-02-28 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-14/2027-02-14/2028-02-26,1.42%,4.44%,-3.02%,2.35,0.21,528.2452/533.7784/715.27/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,406.34/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/462.04,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),488.87
"ENZL, Long, 2026-02-28 (Price: 47.4776)",No Exit Yet,"-9.49%, 20 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 42.97), 9.49% below",20 days,"2, 2024-09-30 (Price: 50.41)",2026-02-28 (Price: 47.4776),2026-02-25 (Price: 47.1645),20/23/20 days,9.49% below/8.89% below/9.49% below,2024-09-30 (Price: 50.41)/2026-02-28 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-20/2027-08-03/2027-11-15,5.75%,1.82%,3.93%,1.1,-0.01,No Target/55.582/49.24/65.1933/79.7363/84.688/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.77,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),47.08
"BYD.TO, Long, 2026-02-28 (Price: 238.09)",No Exit Yet,"-19.31%, 20 days","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 192.12), 19.31% below",20 days,"2, 2024-02-29 (Price: 324.75)",2026-01-31 (Price: 223.17),2026-02-26 (Price: 240.82),48/22/20 days,13.91% below/20.22% below/19.31% below,2024-02-29 (Price: 324.75)/2026-02-28 (Price: 213.2612),21.68%/5.8%/10.67%,"-0.0%, 33.29%",1.1 year/5.1 months/9.8 months,2027-09-24/2026-10-07/2027-04-29,14.79%,10.47%,4.32%,1.34,0.52,364.111/263.4942/290.09/256.6133/367.2583/388.6839/No EMA 200 Target,192.05/188.685/229.0045/147.1212/No F-Track Level/No F-Track Level/219.24,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),221.66
"EWJ, Long, 2026-02-28 (Price: 92.37)",No Exit Yet,"-12.09%, 20 days","71.43%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 81.2), 12.09% below",20 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),48/50/20 days,5.27% below/5.68% below/12.09% below,2001-05-31 (Price: 46.88)/2026-02-28 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-08-02/2026-10-03/2028-09-23,4.29%,2.12%,2.17%,0.28,-0.01,93.4784/101.3945/119.66/No Horizontal Resistance/No Target/104.8752/No EMA 200 Target,67.1/53.915/83.4752/No stop loss/No F-Track Level/No F-Track Level/80.22,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),85.33
"USO, Long, 2026-02-08 (Price: 76.99)",2026-03-20 (Price: 121.43),"57.72%, 1.3 month","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-03-20 (Price: 121.43), 57.72% above",1.3 month,"2, 2025-06-29 (Price: 83.57)",2026-01-25 (Price: 73.95),2026-02-03 (Price: 77.47),54/45/40 days,64.21% above/56.74% above/57.72% above,2025-06-29 (Price: 83.57)/2026-02-08 (Price: 70.6339),10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-05-31/2026-04-01/2026-07-18,-7.02%,-6.0%,-1.02%,-0.18,-0.19,No Target/79.9156/80.94/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/72.26,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),75.5
"MAR, Long, 2025-12-28 (Price: 315.58)",2026-03-08 (Price: 323.8),"2.6%, 2.3 months","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-03-20 (Price: 319.76), 1.32% above",2.7 months,"2, 2016-03-20 (Price: 73.89)",2025-12-21 (Price: 310.16),2025-12-28 (Price: 315.58),89/82/82 days,3.1% above/1.32% above/1.32% above,2016-03-20 (Price: 73.89)/2025-12-28 (Price: 306.94),16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-05-07/2026-02-06/2026-06-22,11.35%,10.48%,0.87%,0.65,0.53,361.8756/342.6883/460.59/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets),310.74
"GOOG, Long, 2025-10-31 (Price: 281.82)",2026-03-20 (Price: 298.79),"6.02%, 4.7 months","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-20 (Price: 298.79), 6.02% above",4.7 months,"0, 2006-01-31 (Price: 11.8334)",2025-09-30 (Price: 243.55),2025-10-15 (Price: 251.71),171/156/140 days,22.68% above/18.7% above/6.02% above,2006-01-31 (Price: 11.8334)/2025-10-31 (Price: 221.2778),63.04%/12.61%/46.43%,"-0.0%, 18.92%",10.2 months/5.1 months/6.2 months,2027-01-17/2026-06-09/2026-07-27,12.41%,17.09%,-4.68%,1.16,0.87,346.1313/412.669/443.81/No Horizontal Resistance/285.4807/322.8294/No EMA 200 Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),241.18
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",2026-03-20 (Price: 46.23),"2.41%, 4.7 months","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-20 (Price: 46.23), 2.41% above",4.7 months,"0, 2002-03-31 (Price: 11.5)",2025-08-31 (Price: 42.76),2025-10-28 (Price: 45.46),201/143/140 days,8.12% above/1.69% above/2.41% above,2002-03-31 (Price: 11.5)/2025-10-31 (Price: 41.0445),12.69%/5.3%/8.8%,"6.95%, 19.49%",1.2 year/4 months/7.1 months,2027-07-18/2026-04-22/2026-09-04,5.6%,3.96%,1.64%,1.05,0.16,49.97/49.1123/65.32/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),44.75
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2026-03-20 (Price: 93.61),"1.76%, 4.7 months","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-20 (Price: 93.61), 1.76% above",4.7 months,"0, 2022-02-28 (Price: 95.0)",2025-08-31 (Price: 85.77),2025-10-30 (Price: 91.86),201/141/140 days,9.14% above/1.91% above/1.76% above,2022-02-28 (Price: 95.0)/2025-10-31 (Price: 75.7694),24.83%/4.28%/13.78%,"30.99%, 38.87%",1.1 year/6 months/10.2 months,2027-05-27/2026-07-18/2027-01-17,1.92%,4.47%,-2.55%,0.3,0.2,97.7578/104.6662/93.8/No Horizontal Resistance/92.969/100.7509/No EMA 200 Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets),90.0
